SITE LOCATION,SITE NAME,planting_location_code,planting_relationships,YEAR,HISTORICAL PRESENCE,DATA TYPE,WATER BODY,SVMP REGION,PROJECT NAME,FUNDING SOURCE,FUNDING SOURCE PROGRAM,CONTRACT 1,CONTRACT 1,CONTRACT 2,CONTRACT 2,CITATION,ACTIVITY TYPE,ACTIVITY FILTER,PLANTING DATE,LATITUDE,LONGITUDE,data_type,retain_drop,DATUM,ELEVATION,PLANTING METHOD,planting_method,PARALLEL SIDE,PERPENDICULAR SIDE,PLOT AREA,PLANTED AREA,EFFECTIVE AREA PLANTED,# OF PLANTING UNITS,# OF SHOOTS,PLOT SHOOT DENSITY ,FOOTPRINT (planted) SHOOT DENSITY ,EFFECTIVE SHOOT DENSITY ,DONOR SITE NAME,NOTES
Port Gamble Bay,Port Gamble Bay - PNNL - test 5 - 2014,PTG_5,single,2014,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",point,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",test,test,2014-11-18,47.82042,-122.57202,point,retain,WGS84,-1.8,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - PNNL - test 2 - 2014,PTG_2,single,2014,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",point,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",test,test,2014-11-19,47.82110,-122.57797,point,retain,WGS84,-1.8,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - PNNL - test 3 - 2014,PTG_3,single,2014,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",point,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",test,test,2014-11-19,47.82157,-122.57532,point,retain,WGS84,-2.7,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - PNNL - test 4 - 2014,PTG_4,single,2014,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",point,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",test,test,2014-11-19,47.82030,-122.57570,point,retain,WGS84,-1.2,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - PNNL - test 1 - 2014,PTG_1,single,2014,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",point,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",test,test,2014-11-20,47.82327,-122.58210,point,retain,WGS84,-1.8,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - PNNL - test 6 - 2014,PTG_6,single,2014,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",point,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",test,test,2014-11-20,47.82107,-122.56727,point,retain,WGS84,-1.8,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Point Julia,
Quilcene Bay,Quilcene Bay - PNNL - test - 2014,QLC01,single,2014,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Quilcene Bay,HDC,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2014-11-24,47.79777,-122.84967,point,retain,WGS84,-0.4,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Quilcene Bay,
Anderson Island,Anderson Island West - PNNL - test - 2015,AND_west1,single,2015,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Drayton Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-02-27,47.17078,-122.72888,point,retain,WGS84,-0.8,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Ketron Island,
Dyes Inlet,Chico Bay - PNNL - test - 2015,CHC,single,2015,,point,Dyes Inlet,CPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-02-18,47.60648,-122.69918,point,retain,WGS84,-0.9,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Creosote Point,
Delano Beach,Delano Beach - PNNL - test - 2015,DEL_1,initial,2015,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Carr Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-02-26,47.25498,-122.73712,point,retain,WGS84,-2.3,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Ketron Island,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot and just south"
