"","site_location","site_name","planting_location_code","planting_relationships","year","historical_presence_source","planting_geometry","water_body","svmp_region","activity_type","activity_filter","planting_date","latitude","longitude","retain_drop","datum","elevation_m_MLLW","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effective_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_name","notes","subproj_code","group_no"
"11","Anderson Island","Anderson Island South 1 - east - HC - large - 2017","AND_south_L2","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Nisqually Reach","CPS","large scale","--",2017-06-02,47.138917,-122.725556,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",8
"12","Anderson Island","Anderson Island South 2 - west - HC - large - 2017","AND_south_L3","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Nisqually Reach","CPS","large scale","large scale",2017-06-04,47.13825,-122.723694,"retain","WGS84",-1.6,"turf",40,4,160,160,24.83,"2483",24830,155.1875,155.1875,"Rocky Bay","large scale area of 40 m X 4 m (160 m2). Planted with plants from Rocky Bay. Planted with plants from Rocky Bay. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple). Estimated number of PUs at test-transplant site as 24,830/10 = 2483.","zos_rest_ps__WDFW__Hart Crowser",9
"13","Anderson Island","Anderson Island South 2 - east - HC - large - 2017","AND_south_L3","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","polygon","Nisqually Reach","CPS","large scale","--",2017-06-04,47.138444,-122.724167,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_ps__WDFW__Hart Crowser",9
"14","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","AND_south_L4","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Nisqually Reach","CPS","large scale","large scale",2017-08-08,47.13263333,-122.7181167,"retain","WGS84",-1.31064,"rebar",30,5,150,105.25,10.525,"421",10525,70.1666666666667,100,"Thompson Cove","Site also known as Gaeckle 3, base line runs 320°","zos_rest_3_deltas__USACE__PNNL",10
"15","Anderson Island","Anderson Island South 3 - east - PNNL - large - 2017","AND_south_L4","single",2017,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","line","Nisqually Reach","CPS","large scale","--",2017-08-08,47.13238,-122.71795,"retain","WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zos_rest_3_deltas__USACE__PNNL",10
"16","Anderson Island","Amsterdam Bay - PNNL - deeper - test - 2020","AMS_deeper","single",2020,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Drayton Passage","CPS","test","test",2020-06-30,47.160376,-122.7277166,"retain","WGS84",-1.1,"rebar",2.5,2.5,6.25,4.75,0.475,"19",475,76,100,"Anderson Island","180 deg az, sandy with gravel some wispy ulva","zos_rec_ps__USACE__PNNL",11
"17","Anderson Island","Anderson Island West - PNNL - test - 2020","AND_west3","single",2020,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Drayton Passage","CPS","test","test",2020-07-01,47.172138166,-122.7279458,"retain","WGS84",-1.2,"rebar",3,2.5,7.5,6.25,0.625,"25",625,83.3333333333333,100,"Anderson Island","180deg az, sandy with little bit of ulva","zos_rec_ps__USACE__PNNL",12
"18","Anderson Island","Anderson Island Northwest - PNNL - test - 2020","AND_nw1","single",2020,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.","point","Drayton Passage","CPS","test","test",2020-06-30,47.1821,-122.7137916,"retain","WGS84",-1.3,"rebar",2.5,2.5,6.25,5,0.5,"20",500,80,100,"Anderson Island","170deg az, sandy with non-attached ulva","zos_rec_ps__USACE__PNNL",13
"19","Anderson Island","Anderson Island South 1 - west - test - 2021","AND_west4","single",2021,NA,"point",NA,NA,"test","test",2021-06-22,NA,NA,"retain","WGS84",-1.5,"rebar",3.5,0.5,1.75,2.25,0.225,"9",135,77.1428571428571,60,"DuPont Wharf",NA,"unaffiliated__unspecified__unspecified",14
"20","Anderson Island","Anderson Island South 2 - west - test - 2021","AND_west5","single",2021,NA,"point",NA,NA,"test","test",2021-06-25,NA,NA,"retain","WGS84",-1.5,"rebar",3.5,0.5,1.75,2.25,0.225,"9",135,77.1428571428571,60,"DuPont Wharf",NA,"unaffiliated__unspecified__unspecified",15
